Video name,Date recorded,Time treatment added,Total time,Treatment
GOPR0808,6/5/15,2:10,12:14,SW Control
GOPR0812,6/5/15,2:10,12:04,Bf Plastic (low)
GOPR0816,6/5/15,2:05,12:03,Clean Plastic (med)
GOPR0819,6/5/15,2:05,12:12,Krill odor (med)
GOPR0822,6/5/15,2:10,12:12,Food
GOPR0825,6/6/15,2:10,12:04,Clean Plastic (low)
GOPR0828,6/6/15,2:10,12:07,Bf Plastic (med)
GOPR0831,6/6/15,2:05,12:02,SW Control
GOPR0834,6/6/15,2:05,12:05,Clean Plastic (med)
GOPR0837,6/6/15,2:05,12:04,Krill odor (high)
GOPR0840,6/6/15,2:10,12:16,Food
GOPR0845,6/7/15,2:05,12:11,Clean Plastic (high)
GOPR0848,6/7/15,2:10,12:11,Bf Plastic (low)
GOPR0851,6/7/15,2:05,12:03,Krill odor (low)
GOPR0856,6/7/15,2:10,12:11,SW Control
GOPR0859,6/7/15,2:05,12:11,Bf Plastic (low)
GOPR0862,6/8/15,2:10,12:07,SW Control
GOPR0865,6/8/15,2:05,12:07,Krill odor (low)
GOPR0868,6/8/15,2:05,12:11,Bf Plastic (high)
GOPR0871,6/8/15,2:10,12:07,Clean Plastic (med)
GOPR0874,6/8/15,2:05,12:08,Krill odor (high)
GOPR0877,6/8/15,2:05,12:08,Food
GOPR0880,6/9/15,2:05,12:12,Krill odor (med)
GOPR0883,6/9/15,2:05,12:12,Bf Plastic (high)
GOPR0886,6/9/15,2:05,12:07,Clean Plastic (high)
GOPR0889,6/9/15,2:05,12:09,Clean Plastic (low)
GOPR0892,6/9/15,2:05,12:08,SW Control
GOPR0896,6/10/15,2:10,12:13,Krill odor (low)
GOPR0899,6/10/15,2:05,12:09,Bf Plastic (med)
GOPR0902,6/10/15,2:05,12:11,Clean Plastic (high)
GOPR0908,6/10/15,2:05,12:10,Bf Plastic (high)
GOPR0913,6/10/15,2:05,12:05,SW Control
GOPR0920,6/10/15,2:05,12:09,Krill odor (med)
GOPR0924,6/10/15,2:05,12:12,Food
GOPR0928,6/11/15,2:05,12:11,Bf Plastic (high)
GOPR0932,6/11/15,2:05,12:06,Clean Plastic (low)
GOPR0935,6/11/15,2:05,12:20,Krill odor (high)
GOPR0938,6/11/15,2:05,12:08,SW Control
GOPR0943,6/11/15,2:05,12:07,Bf Plastic (low)
GOPR0946,6/11/15,2:10,12:12,Food
GOPR0952,6/12/15,2:05,12:07,Clean Plastic (low)
GOPR0955,6/12/15,2:05,12:09,Krill odor (med)
GOPR0959,6/12/15,2:05,12:10,SW Control
GOPR0963,6/12/15,2:05,12:07,Bf Plastic (med)
GOPR0966,6/14/15,2:05,12:07,Bf Plastic (low)
GOPR0969,6/14/15,2:05,12:13,Krill odor (low)
GOPR0972,6/14/15,2:05,12:08,Clean Plastic (high)
GOPR0976,6/14/15,2:05,12:08,Bf Plastic (med)
GOPR0979,6/14/15,2:05,12:10,Krill odor (med)
GOPR0984,6/14/15,2:05,12:07,SW Control
GOPR0987,6/14/15,2:05,12:10,Clean Plastic (low)
GOPR0990,6/15/15,2:05,12:08,Clean Plastic (low)
GOPR0993,6/15/15,2:05,12:09,Bf Plastic (high)
GOPR0996,6/15/15,2:05,12:09,Clean Plastic (high)
GOPR0999,6/15/15,2:05,12:09,Krill odor (low)
GOPR1002,6/15/15,2:05,12:10,SW Control
GOPR1005,6/15/15,2:05,12:06,Clean Plastic (med)
GOPR1008,6/15/15,2:05,12:08,Krill odor (high)
GOPR1011,6/16/15,2:05,12:08,Krill odor (high)
GOPR1015,6/16/15,2:05,12:08,Clean Plastic (med)
GOPR1018,6/16/15,2:05,12:09,SW Control
GOPR1022,6/16/15,2:05,12:08,Bf Plastic (med)
GOPR1025,6/26/15,2:05,12:07,Clean Plastic (low)
GOPR1029,6/26/15,2:05,12:06,Bf Plastic (low)
GOPR1033,6/26/15,2:05,12:06,SW Control
GOPR1037,6/26/15,2:05,12:06,Bf Plastic (med)
GOPR1040,6/26/15,2:05,12:08,Clean Plastic (med)
GOPR1043,6/26/15,2:05,12:08,Krill odor (med)
GOPR1046,6/26/15,2:05,12:09,Food
GOPR1049,6/27/15,2:05,12:06,Krill odor (low)
GOPR1055,6/27/15,2:05,12:06,Clean Plastic (low)
GOPR1059,6/27/15,2:05,12:06,Bf Plastic (high)
GOPR1062,6/27/15,2:05,12:06,SW Control
GOPR1066,6/27/15,2:05,12:06,Krill odor (high)
GOPR1073,6/27/15,2:05,12:07,Clean Plastic (high)
GOPR1076,6/27/15,2:05,12:07,Food
GOPR1083,6/28/15,2:05,12:07,Bf Plastic (low)
GOPR1086,6/28/15,2:05,12:07,Krill odor (low)
GOPR1090,6/28/15,2:05,12:07,SW Control
GOPR1093,6/28/15,2:05,12:07,Clean Plastic (med)
GOPR1097,6/28/15,2:05,12:07,Bf Plastic (med)
GOPR1100,6/28/15,2:05,12:06,Krill odor (med)
GOPR1103,6/28/15,2:05,12:07,Clean Plastic (high)
GOPR1107,6/29/15,2:05,12:08,SW Control
