Video name,Date recorded,Treatment,Screenshot order,Pre or post,Screenshot time,Quadrat,# Non-rheotactic,Total # fish,Proportion fish non-rheotactic,Observer
GOPR1789,8/5/15,Bf Plastic (high),9,pre,0:45,1,2,37,0.054054054,KO
GOPR1789,8/5/15,Bf Plastic (high),10,pre,0:50,2,1,35,0.028571429,KO
GOPR1789,8/5/15,Bf Plastic (high),11,pre,0:55,3,1,37,0.027027027,KO
GOPR1789,8/5/15,Bf Plastic (high),12,pre,1:00,1,1,50,0.02,KO
GOPR1789,8/5/15,Bf Plastic (high),13,pre,1:05,4,0,38,0,KO
GOPR1789,8/5/15,Bf Plastic (high),14,pre,1:10,3,0,38,0,KO
GOPR1789,8/5/15,Bf Plastic (high),15,pre,1:15,4,0,35,0,KO
GOPR1789,8/5/15,Bf Plastic (high),16,pre,1:20,2,0,35,0,KO
GOPR1789,8/5/15,Bf Plastic (high),17,pre,1:25,1,1,47,0.021276596,KO
GOPR1789,8/5/15,Bf Plastic (high),18,pre,1:30,3,4,43,0.093023256,KO
GOPR1789,8/5/15,Bf Plastic (high),19,pre,1:35,1,1,55,0.018181818,KO
GOPR1789,8/5/15,Bf Plastic (high),20,pre,1:40,4,1,34,0.029411765,KO
GOPR1789,8/5/15,Bf Plastic (high),21,pre,1:45,3,11,51,0.215686275,KO
GOPR1789,8/5/15,Bf Plastic (high),22,pre,1:50,3,3,49,0.06122449,KO
GOPR1789,8/5/15,Bf Plastic (high),23,pre,1:55,2,1,34,0.029411765,KO
GOPR1789,8/5/15,Bf Plastic (high),24,pre,2:00,3,1,36,0.027777778,KO
GOPR1789,8/5/15,Bf Plastic (high),25,post,2:05,3,6,43,0.139534884,KO
GOPR1789,8/5/15,Bf Plastic (high),26,post,2:10,3,4,51,0.078431373,KO
GOPR1789,8/5/15,Bf Plastic (high),27,post,2:15,4,0,29,0,KO
GOPR1789,8/5/15,Bf Plastic (high),28,post,2:20,1,30,64,0.46875,KO
GOPR1789,8/5/15,Bf Plastic (high),29,post,2:25,3,6,47,0.127659574,KO
GOPR1789,8/5/15,Bf Plastic (high),30,post,2:30,4,7,47,0.14893617,KO
GOPR1789,8/5/15,Bf Plastic (high),31,post,2:35,4,10,45,0.222222222,KO
GOPR1789,8/5/15,Bf Plastic (high),32,post,2:40,4,6,36,0.166666667,KO
GOPR1789,8/5/15,Bf Plastic (high),33,post,2:45,4,3,10,0.3,KO
GOPR1789,8/5/15,Bf Plastic (high),34,post,2:50,3,44,79,0.556962025,KO
GOPR1789,8/5/15,Bf Plastic (high),35,post,2:55,4,0,2,0,KO
GOPR1789,8/5/15,Bf Plastic (high),36,post,3:00,2,1,8,0.125,KO
GOPR1789,8/5/15,Bf Plastic (high),37,post,3:05,3,29,66,0.439393939,KO
GOPR1789,8/5/15,Bf Plastic (high),38,post,3:10,1,41,79,0.518987342,KO
GOPR1789,8/5/15,Bf Plastic (high),39,post,3:15,4,4,18,0.222222222,KO
GOPR1789,8/5/15,Bf Plastic (high),40,post,3:20,2,1,25,0.04,KO
GOPR1789,8/5/15,Bf Plastic (high),41,post,3:25,3,11,43,0.255813953,KO
GOPR1789,8/5/15,Bf Plastic (high),42,post,3:30,2,4,24,0.166666667,KO
GOPR1789,8/5/15,Bf Plastic (high),43,post,3:35,1,25,64,0.390625,KO
GOPR1789,8/5/15,Bf Plastic (high),44,post,3:40,4,0,28,0,KO
GOPR1789,8/5/15,Bf Plastic (high),45,post,3:45,2,2,19,0.105263158,KO
GOPR1780,8/4/15,SW Control,9,pre,0:45,1,1,43,0.023255814,KO
GOPR1780,8/4/15,SW Control,10,pre,0:50,2,5,42,0.119047619,KO
GOPR1780,8/4/15,SW Control,11,pre,0:55,3,0,40,0,KO
GOPR1780,8/4/15,SW Control,12,pre,1:00,1,3,45,0.066666667,KO
GOPR1780,8/4/15,SW Control,13,pre,1:05,2,3,40,0.075,KO
GOPR1780,8/4/15,SW Control,14,pre,1:10,4,1,28,0.035714286,KO
GOPR1780,8/4/15,SW Control,15,pre,1:15,3,0,39,0,KO
GOPR1780,8/4/15,SW Control,16,pre,1:20,2,2,40,0.05,KO
GOPR1780,8/4/15,SW Control,17,pre,1:25,1,2,43,0.046511628,KO
GOPR1780,8/4/15,SW Control,18,pre,1:30,3,2,39,0.051282051,KO
GOPR1780,8/4/15,SW Control,19,pre,1:35,4,1,39,0.025641026,KO
GOPR1780,8/4/15,SW Control,20,pre,1:40,3,1,35,0.028571429,KO
GOPR1780,8/4/15,SW Control,21,pre,1:45,2,3,54,0.055555556,KO
GOPR1780,8/4/15,SW Control,22,pre,1:50,3,0,40,0,KO
GOPR1780,8/4/15,SW Control,23,pre,1:55,1,5,46,0.108695652,KO
GOPR1780,8/4/15,SW Control,24,pre,2:00,1,5,43,0.11627907,KO
GOPR1780,8/4/15,SW Control,25,post,2:05,1,3,46,0.065217391,KO
GOPR1780,8/4/15,SW Control,26,post,2:10,1,3,42,0.071428571,KO
GOPR1780,8/4/15,SW Control,27,post,2:15,1,10,56,0.178571429,KO
GOPR1780,8/4/15,SW Control,28,post,2:20,4,2,29,0.068965517,KO
GOPR1780,8/4/15,SW Control,29,post,2:25,3,5,31,0.161290323,KO
GOPR1780,8/4/15,SW Control,30,post,2:30,2,7,38,0.184210526,KO
GOPR1780,8/4/15,SW Control,31,post,2:35,3,6,42,0.142857143,KO
GOPR1780,8/4/15,SW Control,32,post,2:40,4,1,34,0.029411765,KO
GOPR1780,8/4/15,SW Control,33,post,2:45,3,5,39,0.128205128,KO
GOPR1780,8/4/15,SW Control,34,post,2:50,2,3,40,0.075,KO
GOPR1780,8/4/15,SW Control,35,post,2:55,1,1,51,0.019607843,KO
GOPR1780,8/4/15,SW Control,36,post,3:00,4,1,34,0.029411765,KO
GOPR1780,8/4/15,SW Control,37,post,3:05,2,3,41,0.073170732,KO
GOPR1780,8/4/15,SW Control,38,post,3:10,4,0,42,0,KO
GOPR1780,8/4/15,SW Control,39,post,3:15,3,2,40,0.05,KO
GOPR1780,8/4/15,SW Control,40,post,3:20,1,1,41,0.024390244,KO
GOPR1780,8/4/15,SW Control,41,post,3:25,4,3,45,0.066666667,KO
GOPR1780,8/4/15,SW Control,42,post,3:30,3,2,43,0.046511628,KO
GOPR1780,8/4/15,SW Control,43,post,3:35,1,3,46,0.065217391,KO
GOPR1780,8/4/15,SW Control,44,post,3:40,2,2,45,0.044444444,KO
GOPR1780,8/4/15,SW Control,45,post,3:45,4,2,31,0.064516129,KO
GOPR1734,8/2/15,Krill odor (high),9,pre,0:45,2,6,45,0.133333333,KO
GOPR1734,8/2/15,Krill odor (high),10,pre,0:50,1,2,57,0.035087719,KO
GOPR1734,8/2/15,Krill odor (high),11,pre,0:55,4,0,17,0,KO
GOPR1734,8/2/15,Krill odor (high),12,pre,1:00,4,2,22,0.090909091,KO
GOPR1734,8/2/15,Krill odor (high),13,pre,1:05,2,9,56,0.160714286,KO
GOPR1734,8/2/15,Krill odor (high),14,pre,1:10,1,6,51,0.117647059,KO
GOPR1734,8/2/15,Krill odor (high),15,pre,1:15,3,2,34,0.058823529,KO
GOPR1734,8/2/15,Krill odor (high),16,pre,1:20,2,3,44,0.068181818,KO
GOPR1734,8/2/15,Krill odor (high),17,pre,1:25,1,4,51,0.078431373,KO
GOPR1734,8/2/15,Krill odor (high),18,pre,1:30,4,0,23,0,KO
GOPR1734,8/2/15,Krill odor (high),19,pre,1:35,3,2,35,0.057142857,KO
GOPR1734,8/2/15,Krill odor (high),20,pre,1:40,1,5,63,0.079365079,KO
GOPR1734,8/2/15,Krill odor (high),21,pre,1:45,4,4,33,0.121212121,KO
GOPR1734,8/2/15,Krill odor (high),22,pre,1:50,1,14,61,0.229508197,KO
GOPR1734,8/2/15,Krill odor (high),23,pre,1:55,1,13,61,0.213114754,KO
GOPR1734,8/2/15,Krill odor (high),24,pre,2:00,3,15,42,0.357142857,KO
GOPR1734,8/2/15,Krill odor (high),25,post,2:05,4,3,32,0.09375,KO
GOPR1734,8/2/15,Krill odor (high),26,post,2:10,3,2,33,0.060606061,KO
GOPR1734,8/2/15,Krill odor (high),27,post,2:15,3,2,37,0.054054054,KO
GOPR1734,8/2/15,Krill odor (high),28,post,2:20,2,9,41,0.219512195,KO
GOPR1734,8/2/15,Krill odor (high),29,post,2:25,3,3,38,0.078947368,KO
GOPR1734,8/2/15,Krill odor (high),30,post,2:30,2,19,30,0.633333333,KO
GOPR1734,8/2/15,Krill odor (high),31,post,2:35,2,15,27,0.555555556,KO
GOPR1734,8/2/15,Krill odor (high),32,post,2:40,4,6,13,0.461538462,KO
GOPR1734,8/2/15,Krill odor (high),33,post,2:45,4,2,5,0.4,KO
GOPR1734,8/2/15,Krill odor (high),34,post,2:50,3,20,41,0.487804878,KO
GOPR1734,8/2/15,Krill odor (high),35,post,2:55,2,0,1,0,KO
GOPR1734,8/2/15,Krill odor (high),36,post,3:00,4,2,4,0.5,KO
GOPR1734,8/2/15,Krill odor (high),37,post,3:05,3,64,101,0.633663366,KO
GOPR1734,8/2/15,Krill odor (high),38,post,3:10,4,5,8,0.625,KO
GOPR1734,8/2/15,Krill odor (high),39,post,3:15,2,5,18,0.277777778,KO
GOPR1734,8/2/15,Krill odor (high),40,post,3:20,1,20,39,0.512820513,KO
GOPR1734,8/2/15,Krill odor (high),41,post,3:25,4,26,59,0.440677966,KO
GOPR1734,8/2/15,Krill odor (high),42,post,3:30,3,5,28,0.178571429,KO
GOPR1734,8/2/15,Krill odor (high),43,post,3:35,1,15,39,0.384615385,KO
GOPR1734,8/2/15,Krill odor (high),44,post,3:40,2,24,51,0.470588235,KO
GOPR1734,8/2/15,Krill odor (high),45,post,3:45,3,1,4,0.25,KO
GOPR1756,8/3/15,Clean Plastic (high),9,pre,0:45,1,2,50,0.04,KO
GOPR1756,8/3/15,Clean Plastic (high),10,pre,0:50,3,0,41,0,KO
GOPR1756,8/3/15,Clean Plastic (high),11,pre,0:55,4,1,39,0.025641026,KO
GOPR1756,8/3/15,Clean Plastic (high),12,pre,1:00,3,2,46,0.043478261,KO
GOPR1756,8/3/15,Clean Plastic (high),13,pre,1:05,1,1,52,0.019230769,KO
GOPR1756,8/3/15,Clean Plastic (high),14,pre,1:10,2,1,31,0.032258065,KO
GOPR1756,8/3/15,Clean Plastic (high),15,pre,1:15,4,0,37,0,KO
GOPR1756,8/3/15,Clean Plastic (high),16,pre,1:20,3,0,34,0,KO
GOPR1756,8/3/15,Clean Plastic (high),17,pre,1:25,4,1,44,0.022727273,KO
GOPR1756,8/3/15,Clean Plastic (high),18,pre,1:30,2,2,50,0.04,KO
GOPR1756,8/3/15,Clean Plastic (high),19,pre,1:35,1,1,38,0.026315789,KO
GOPR1756,8/3/15,Clean Plastic (high),20,pre,1:40,4,0,41,0,KO
GOPR1756,8/3/15,Clean Plastic (high),21,pre,1:45,3,4,40,0.1,KO
GOPR1756,8/3/15,Clean Plastic (high),22,pre,1:50,2,5,38,0.131578947,KO
GOPR1756,8/3/15,Clean Plastic (high),23,pre,1:55,2,3,44,0.068181818,KO
GOPR1756,8/3/15,Clean Plastic (high),24,pre,2:00,2,1,34,0.029411765,KO
GOPR1756,8/3/15,Clean Plastic (high),25,post,2:05,4,0,30,0,KO
GOPR1756,8/3/15,Clean Plastic (high),26,post,2:10,3,4,53,0.075471698,KO
GOPR1756,8/3/15,Clean Plastic (high),27,post,2:15,2,5,32,0.15625,KO
GOPR1756,8/3/15,Clean Plastic (high),28,post,2:20,3,3,44,0.068181818,KO
GOPR1756,8/3/15,Clean Plastic (high),29,post,2:25,4,2,26,0.076923077,KO
GOPR1756,8/3/15,Clean Plastic (high),30,post,2:30,3,1,35,0.028571429,KO
GOPR1756,8/3/15,Clean Plastic (high),31,post,2:35,2,7,53,0.132075472,KO
GOPR1756,8/3/15,Clean Plastic (high),32,post,2:40,4,0,34,0,KO
GOPR1756,8/3/15,Clean Plastic (high),33,post,2:45,1,6,39,0.153846154,KO
GOPR1756,8/3/15,Clean Plastic (high),34,post,2:50,2,1,40,0.025,KO
GOPR1756,8/3/15,Clean Plastic (high),35,post,2:55,3,2,46,0.043478261,KO
GOPR1756,8/3/15,Clean Plastic (high),36,post,3:00,1,4,48,0.083333333,KO
GOPR1756,8/3/15,Clean Plastic (high),37,post,3:05,1,2,49,0.040816327,KO
GOPR1756,8/3/15,Clean Plastic (high),38,post,3:10,3,0,37,0,KO
GOPR1756,8/3/15,Clean Plastic (high),39,post,3:15,4,1,33,0.03030303,KO
GOPR1756,8/3/15,Clean Plastic (high),40,post,3:20,2,3,44,0.068181818,KO
GOPR1756,8/3/15,Clean Plastic (high),41,post,3:25,1,3,50,0.06,KO
GOPR1756,8/3/15,Clean Plastic (high),42,post,3:30,2,1,32,0.03125,KO
GOPR1756,8/3/15,Clean Plastic (high),43,post,3:35,4,1,31,0.032258065,KO
GOPR1756,8/3/15,Clean Plastic (high),44,post,3:40,3,1,44,0.022727273,KO
GOPR1756,8/3/15,Clean Plastic (high),45,post,3:45,3,1,40,0.025,KO
GOPR1711,8/1/15,Food,9,pre,0:45,1,8,57,0.140350877,KO
GOPR1711,8/1/15,Food,10,pre,0:50,1,4,49,0.081632653,KO
GOPR1711,8/1/15,Food,11,pre,0:55,3,1,29,0.034482759,KO
GOPR1711,8/1/15,Food,12,pre,1:00,4,0,37,0,KO
GOPR1711,8/1/15,Food,13,pre,1:05,2,0,46,0,KO
GOPR1711,8/1/15,Food,14,pre,1:10,3,0,30,0,KO
GOPR1711,8/1/15,Food,15,pre,1:15,3,23,54,0.425925926,KO
GOPR1711,8/1/15,Food,16,pre,1:20,3,4,47,0.085106383,KO
GOPR1711,8/1/15,Food,17,pre,1:25,1,7,29,0.24137931,KO
GOPR1711,8/1/15,Food,18,pre,1:30,1,2,43,0.046511628,KO
GOPR1711,8/1/15,Food,19,pre,1:35,2,0,13,0,KO
GOPR1711,8/1/15,Food,20,pre,1:40,4,3,40,0.075,KO
GOPR1711,8/1/15,Food,21,pre,1:45,2,5,25,0.2,KO
GOPR1711,8/1/15,Food,22,pre,1:50,3,1,46,0.02173913,KO
GOPR1711,8/1/15,Food,23,pre,1:55,3,3,39,0.076923077,KO
GOPR1711,8/1/15,Food,24,pre,2:00,2,6,34,0.176470588,KO
GOPR1711,8/1/15,Food,25,post,2:05,1,22,50,0.44,KO
GOPR1711,8/1/15,Food,26,post,2:10,3,2,47,0.042553191,KO
GOPR1711,8/1/15,Food,27,post,2:15,2,16,19,0.842105263,KO
GOPR1711,8/1/15,Food,28,post,2:20,3,36,85,0.423529412,KO
GOPR1711,8/1/15,Food,29,post,2:25,1,61,88,0.693181818,KO
GOPR1711,8/1/15,Food,30,post,2:30,2,12,16,0.75,KO
GOPR1711,8/1/15,Food,31,post,2:35,2,2,3,0.666666667,KO
GOPR1711,8/1/15,Food,32,post,2:40,4,1,1,1,KO
GOPR1711,8/1/15,Food,33,post,2:45,1,45,97,0.463917526,KO
GOPR1711,8/1/15,Food,34,post,2:50,2,5,18,0.277777778,KO
GOPR1711,8/1/15,Food,35,post,2:55,3,14,42,0.333333333,KO
GOPR1711,8/1/15,Food,36,post,3:00,4,5,19,0.263157895,KO
GOPR1711,8/1/15,Food,37,post,3:05,2,16,35,0.457142857,KO
GOPR1711,8/1/15,Food,38,post,3:10,1,18,69,0.260869565,KO
GOPR1711,8/1/15,Food,39,post,3:15,3,6,17,0.352941176,KO
GOPR1711,8/1/15,Food,40,post,3:20,3,12,49,0.244897959,KO
GOPR1711,8/1/15,Food,41,post,3:25,2,0,12,0,KO
GOPR1711,8/1/15,Food,42,post,3:30,2,9,18,0.5,KO
GOPR1711,8/1/15,Food,43,post,3:35,1,44,71,0.61971831,KO
GOPR1711,8/1/15,Food,44,post,3:40,3,19,30,0.633333333,KO
GOPR1711,8/1/15,Food,45,post,3:45,1,52,85,0.611764706,KO
GOPR1771,8/4/15,Bf Plastic (high),9,pre,0:45,2,1,19,0.052631579,KO
GOPR1771,8/4/15,Bf Plastic (high),10,pre,0:50,4,2,39,0.051282051,KO
GOPR1771,8/4/15,Bf Plastic (high),11,pre,0:55,4,4,33,0.121212121,KO
GOPR1771,8/4/15,Bf Plastic (high),12,pre,1:00,2,2,34,0.058823529,KO
GOPR1771,8/4/15,Bf Plastic (high),13,pre,1:05,2,3,50,0.06,KO
GOPR1771,8/4/15,Bf Plastic (high),14,pre,1:10,4,1,37,0.027027027,KO
GOPR1771,8/4/15,Bf Plastic (high),15,pre,1:15,3,1,32,0.03125,KO
GOPR1771,8/4/15,Bf Plastic (high),16,pre,1:20,2,1,47,0.021276596,KO
GOPR1771,8/4/15,Bf Plastic (high),17,pre,1:25,3,0,37,0,KO
GOPR1771,8/4/15,Bf Plastic (high),18,pre,1:30,1,3,47,0.063829787,KO
GOPR1771,8/4/15,Bf Plastic (high),19,pre,1:35,2,3,53,0.056603774,KO
GOPR1771,8/4/15,Bf Plastic (high),20,pre,1:40,4,2,42,0.047619048,KO
GOPR1771,8/4/15,Bf Plastic (high),21,pre,1:45,2,1,37,0.027027027,KO
GOPR1771,8/4/15,Bf Plastic (high),22,pre,1:50,4,2,39,0.051282051,KO
GOPR1771,8/4/15,Bf Plastic (high),23,pre,1:55,4,2,33,0.060606061,KO
GOPR1771,8/4/15,Bf Plastic (high),24,pre,2:00,2,3,40,0.075,KO
GOPR1771,8/4/15,Bf Plastic (high),25,post,2:05,2,11,49,0.224489796,KO
GOPR1771,8/4/15,Bf Plastic (high),26,post,2:10,2,17,56,0.303571429,KO
GOPR1771,8/4/15,Bf Plastic (high),27,post,2:15,2,23,72,0.319444444,KO
GOPR1771,8/4/15,Bf Plastic (high),28,post,2:20,2,17,67,0.253731343,KO
GOPR1771,8/4/15,Bf Plastic (high),29,post,2:25,3,3,31,0.096774194,KO
GOPR1771,8/4/15,Bf Plastic (high),30,post,2:30,2,9,40,0.225,KO
GOPR1771,8/4/15,Bf Plastic (high),31,post,2:35,4,7,39,0.179487179,KO
GOPR1771,8/4/15,Bf Plastic (high),32,post,2:40,3,5,27,0.185185185,KO
GOPR1771,8/4/15,Bf Plastic (high),33,post,2:45,3,13,38,0.342105263,KO
GOPR1771,8/4/15,Bf Plastic (high),34,post,2:50,3,14,39,0.358974359,KO
GOPR1771,8/4/15,Bf Plastic (high),35,post,2:55,2,9,26,0.346153846,KO
GOPR1771,8/4/15,Bf Plastic (high),36,post,3:00,1,48,76,0.631578947,KO
GOPR1771,8/4/15,Bf Plastic (high),37,post,3:05,3,25,55,0.454545455,KO
GOPR1771,8/4/15,Bf Plastic (high),38,post,3:10,2,8,18,0.444444444,KO
GOPR1771,8/4/15,Bf Plastic (high),39,post,3:15,2,8,15,0.533333333,KO
GOPR1771,8/4/15,Bf Plastic (high),40,post,3:20,3,19,54,0.351851852,KO
GOPR1771,8/4/15,Bf Plastic (high),41,post,3:25,3,11,54,0.203703704,KO
GOPR1771,8/4/15,Bf Plastic (high),42,post,3:30,1,16,72,0.222222222,KO
GOPR1771,8/4/15,Bf Plastic (high),43,post,3:35,3,3,35,0.085714286,KO
GOPR1771,8/4/15,Bf Plastic (high),44,post,3:40,4,2,17,0.117647059,KO
GOPR1771,8/4/15,Bf Plastic (high),45,post,3:45,1,40,87,0.459770115,KO
GOPR1688,8/1/15,Bf Plastic (low),9,pre,0:45,4,11,53,0.20754717,KO
GOPR1688,8/1/15,Bf Plastic (low),10,pre,0:50,3,6,50,0.12,KO
GOPR1688,8/1/15,Bf Plastic (low),11,pre,0:55,1,5,37,0.135135135,KO
GOPR1688,8/1/15,Bf Plastic (low),12,pre,1:00,1,3,36,0.083333333,KO
GOPR1688,8/1/15,Bf Plastic (low),13,pre,1:05,3,3,55,0.054545455,KO
GOPR1688,8/1/15,Bf Plastic (low),14,pre,1:10,4,10,46,0.217391304,KO
GOPR1688,8/1/15,Bf Plastic (low),15,pre,1:15,3,8,45,0.177777778,KO
GOPR1688,8/1/15,Bf Plastic (low),16,pre,1:20,4,6,52,0.115384615,KO
GOPR1688,8/1/15,Bf Plastic (low),17,pre,1:25,1,10,42,0.238095238,KO
GOPR1688,8/1/15,Bf Plastic (low),18,pre,1:30,2,1,19,0.052631579,KO
GOPR1688,8/1/15,Bf Plastic (low),19,pre,1:35,4,8,53,0.150943396,KO
GOPR1688,8/1/15,Bf Plastic (low),20,pre,1:40,1,13,48,0.270833333,KO
GOPR1688,8/1/15,Bf Plastic (low),21,pre,1:45,4,3,49,0.06122449,KO
GOPR1688,8/1/15,Bf Plastic (low),22,pre,1:50,3,4,57,0.070175439,KO
GOPR1688,8/1/15,Bf Plastic (low),23,pre,1:55,4,56,88,0.636363636,KO
GOPR1688,8/1/15,Bf Plastic (low),24,pre,2:00,1,13,33,0.393939394,KO
GOPR1688,8/1/15,Bf Plastic (low),25,post,2:05,2,0,4,0,KO
GOPR1688,8/1/15,Bf Plastic (low),26,post,2:10,2,1,5,0.2,KO
GOPR1688,8/1/15,Bf Plastic (low),27,post,2:15,4,2,10,0.2,KO
GOPR1688,8/1/15,Bf Plastic (low),28,post,2:20,1,20,73,0.273972603,KO
GOPR1688,8/1/15,Bf Plastic (low),29,post,2:25,4,13,21,0.619047619,KO
GOPR1688,8/1/15,Bf Plastic (low),30,post,2:30,3,24,64,0.375,KO
GOPR1688,8/1/15,Bf Plastic (low),31,post,2:35,4,4,18,0.222222222,KO
GOPR1688,8/1/15,Bf Plastic (low),32,post,2:40,2,5,37,0.135135135,KO
GOPR1688,8/1/15,Bf Plastic (low),33,post,2:45,3,13,57,0.228070175,KO
GOPR1688,8/1/15,Bf Plastic (low),34,post,2:50,4,2,56,0.035714286,KO
GOPR1688,8/1/15,Bf Plastic (low),35,post,2:55,4,14,62,0.225806452,KO
GOPR1688,8/1/15,Bf Plastic (low),36,post,3:00,2,8,26,0.307692308,KO
GOPR1688,8/1/15,Bf Plastic (low),37,post,3:05,1,10,33,0.303030303,KO
